enzym,Eco94GmrSD,EcoCTGmrSD,EcoKMcrA,EcoKMcrB,EcoKMcrC,EcoKMrr,SauNewI,SauUSI,ScoA3I,ScoA3II,ScoA3III,ScoA3McrA,ScoA3Mrr,ZmoCP4Mrr
Eco94GmrSD,3277,3263,-718,-107,-400,-617,-325,-325,-371,-228,-865,30,-1,-603
EcoCTGmrSD,3263,3275,-718,-107,-410,-619,-320,-320,-366,-228,-865,28,2,-603
EcoKMcrA,-718,-718,1464,-242,-38,-12,-1812,-1812,-1745,-171,29,-434,-514,28
EcoKMcrB,-107,-107,-242,2434,-43,-179,-861,-861,-839,10,-377,-19,-62,-168
EcoKMcrC,-400,-410,-38,-43,1834,9,-1382,-1382,-1365,-51,-87,-298,-270,-15
EcoKMrr,-617,-619,-12,-179,9,1564,-1663,-1663,-1601,-82,-21,-413,-365,574
SauNewI,-325,-320,-1812,-861,-1382,-1663,4869,4869,890,-1066,-1988,-616,-638,-1650
SauUSI,-325,-320,-1812,-861,-1382,-1663,4869,4869,890,-1066,-1988,-616,-638,-1650
ScoA3I,-371,-366,-1745,-839,-1365,-1601,890,890,4874,-997,-1904,-513,-599,-1627
ScoA3II,-228,-228,-171,10,-51,-82,-1066,-1066,-997,2225,-290,-69,-32,-108
ScoA3III,-865,-865,29,-377,-87,-21,-1988,-1988,-1904,-290,1307,-631,-622,13
ScoA3McrA,30,28,-434,-19,-298,-413,-616,-616,-513,-69,-631,2986,89,-389
ScoA3Mrr,-1,2,-514,-62,-270,-365,-638,-638,-599,-32,-622,89,2783,-364
ZmoCP4Mrr,-603,-603,28,-168,-15,574,-1650,-1650,-1627,-108,13,-389,-364,1555
