enzym,Eco94GmrSD,EcoCTGmrSD,EcoKMcrA,EcoKMcrB,EcoKMcrC,EcoKMrr,SauNewI,SauUSI,ScoA3I,ScoA3II,ScoA3III,ScoA3McrA,ScoA3Mrr,ZmoCP4Mrr
CjeFIV,-510.0,-508.0,-2096.0,-1147.0,-1677.0,-1925.0,267.0,267.0,128.0,-1328.0,-2278.0,-831.0,-888.0,-1912.0
CjeNIV,-510.0,-508.0,-2096.0,-1147.0,-1677.0,-1925.0,267.0,267.0,128.0,-1328.0,-2278.0,-831.0,-888.0,-1912.0
DvuI,-692.0,-697.0,-2338.0,-1348.0,-1917.0,-2140.0,188.0,188.0,90.0,-1481.0,-2481.0,-882.0,-996.0,-2172.0
EcoAI,-81.0,-78.0,-1310.0,-515.0,-970.0,-1159.0,206.0,206.0,227.0,-602.0,-1474.0,-209.0,-242.0,-1109.0
EcoAO83I,-81.0,-78.0,-1309.0,-511.0,-971.0,-1157.0,210.0,210.0,232.0,-600.0,-1473.0,-208.0,-237.0,-1109.0
EcoCFTI,-81.0,-78.0,-1308.0,-513.0,-971.0,-1159.0,205.0,205.0,223.0,-606.0,-1474.0,-213.0,-242.0,-1109.0
EcoEI,-86.0,-88.0,-1301.0,-499.0,-974.0,-1169.0,200.0,200.0,216.0,-641.0,-1468.0,-249.0,-263.0,-1135.0
EcoKI,-814.0,-817.0,-2588.0,-1558.0,-2177.0,-2405.0,66.0,66.0,-3.0,-1753.0,-2754.0,-1155.0,-1177.0,-2382.0
EcoprrI,-538.0,-536.0,10.0,-150.0,76.0,19.0,-1535.0,-1535.0,-1563.0,-91.0,-52.0,-448.0,-397.0,23.0
EcoR124I,-492.0,-486.0,-2125.0,-1135.0,-1698.0,-1945.0,298.0,298.0,171.0,-1320.0,-2304.0,-855.0,-840.0,-1943.0
EcoR124II,-483.0,-477.0,-2105.0,-1123.0,-1688.0,-1929.0,310.0,310.0,169.0,-1299.0,-2285.0,-843.0,-814.0,-1926.0
FclI,-340.0,-329.0,-1866.0,-966.0,-1439.0,-1732.0,255.0,255.0,201.0,-1125.0,-2016.0,-698.0,-715.0,-1698.0
Hpy99XVI,-184.0,-181.0,-1510.0,-693.0,-1138.0,-1433.0,284.0,284.0,143.0,-862.0,-1708.0,-465.0,-458.0,-1376.0
KpnAI,-706.0,-707.0,-2325.0,-1346.0,-1914.0,-2189.0,176.0,176.0,41.0,-1550.0,-2526.0,-966.0,-1044.0,-2133.0
KpnBI,-428.0,-426.0,-1957.0,-1104.0,-1607.0,-1824.0,197.0,197.0,155.0,-1218.0,-2182.0,-735.0,-783.0,-1862.0
Lla1403I,-416.0,-415.0,-1964.0,-1034.0,-1535.0,-1807.0,293.0,293.0,197.0,-1188.0,-2132.0,-689.0,-768.0,-1791.0
Lla2614I,-442.0,-441.0,-2035.0,-1124.0,-1630.0,-1924.0,271.0,271.0,93.0,-1287.0,-2234.0,-777.0,-805.0,-1898.0
LlaBIII,-2070.0,-2067.0,-4024.0,-2932.0,-3575.0,-3871.0,-676.0,-676.0,-847.0,-3144.0,-4295.0,-2472.0,-2572.0,-3860.0
LlaGI,-2021.0,-2014.0,-4016.0,-2881.0,-3543.0,-3863.0,-631.0,-631.0,-790.0,-3098.0,-4273.0,-2467.0,-2545.0,-3835.0
LldI,-422.0,-421.0,-2046.0,-1134.0,-1625.0,-1927.0,261.0,261.0,112.0,-1289.0,-2242.0,-805.0,-825.0,-1897.0
Mva1261III,-718.0,-716.0,-2353.0,-1371.0,-1927.0,-2176.0,261.0,261.0,216.0,-1563.0,-2494.0,-1015.0,-1041.0,-2151.0
NgoAV,-478.0,-475.0,-2098.0,-1121.0,-1648.0,-1941.0,286.0,286.0,190.0,-1318.0,-2270.0,-815.0,-843.0,-1910.0
PhaAI,-571.0,-576.0,-2151.0,-1243.0,-1757.0,-1995.0,189.0,189.0,130.0,-1342.0,-2325.0,-850.0,-906.0,-2015.0
SauN315I,-270.0,-265.0,-1754.0,-825.0,-1321.0,-1601.0,300.0,300.0,180.0,-1016.0,-1894.0,-535.0,-580.0,-1582.0
SpnD39IIIA,-9.0,-11.0,-1202.0,-431.0,-827.0,-1058.0,178.0,178.0,130.0,-563.0,-1365.0,-187.0,-143.0,-1024.0
SpnD39IIIB,-9.0,-11.0,-1202.0,-431.0,-827.0,-1058.0,178.0,178.0,130.0,-563.0,-1365.0,-187.0,-143.0,-1024.0
SpnD39IIIC,-9.0,-11.0,-1202.0,-431.0,-827.0,-1058.0,178.0,178.0,130.0,-563.0,-1365.0,-187.0,-143.0,-1024.0
SpnD39IIID,-9.0,-11.0,-1202.0,-431.0,-827.0,-1058.0,178.0,178.0,130.0,-563.0,-1365.0,-187.0,-143.0,-1024.0
StySBLI,-660.0,-661.0,-2277.0,-1308.0,-1859.0,-2129.0,183.0,183.0,77.0,-1487.0,-2478.0,-929.0,-985.0,-2096.0
StySKI,-986.0,-984.0,-16.0,-461.0,-171.0,-91.0,-2151.0,-2151.0,-2091.0,-383.0,16.0,-777.0,-718.0,-78.0
TelBI,-394.0,-397.0,-1940.0,-1023.0,-1551.0,-1771.0,355.0,355.0,175.0,-1200.0,-2089.0,-686.0,-695.0,-1771.0
