Enzym,Shluk
Eco94GmrSD,1
EcoCTGmrSD,1
EcoKMcrA,1
EcoKMcrB,1
EcoKMcrC,1
EcoKMrr,1
SauNewI,0
SauUSI,0
ScoA3I,0
ScoA3II,1
ScoA3III,1
ScoA3McrA,1
ScoA3Mrr,1
ZmoCP4Mrr,1
CjeFIV,0
CjeNIV,0
DvuI,0
EcoAI,0
EcoAO83I,0
EcoCFTI,0
EcoEI,0
EcoKI,0
EcoprrI,1
EcoR124I,0
EcoR124II,0
FclI,0
Hpy99XVI,0
KpnAI,0
KpnBI,0
Lla1403I,0
Lla2614I,0
LlaBIII,2
LlaGI,2
LldI,0
Mva1261III,0
NgoAV,0
PhaAI,0
SauN315I,0
SpnD39IIIA,0
SpnD39IIIB,0
SpnD39IIIC,0
SpnD39IIID,0
StySBLI,0
StySKI,1
TelBI,0
